Query,Query url,Query description,Result,Result url,Result description,User evaluation

AKSW/SPARQL2NL,https://github.com/dbpedia/links,converts SPARQL queries to natural language expressions,dbpedia/links,https://github.com/AKSW/SPARQL2NL,A repo that contains outgoing links from DBpedia,2
AKSW/SPARQL2NL,https://github.com/AKSW/jena-sparql-api,converts SPARQL queries to natural language expressions,AKSW/jena-sparql-api,https://github.com/AKSW/SPARQL2NL,A collection of Jena-extensions for hiding SPARQL-complexity from the application layer,4
AKSW/SPARQL2NL,https://github.com/omerio/appstart,converts SPARQL queries to natural language expressions,omerio/appstart,https://github.com/AKSW/SPARQL2NL,App Engine Java Modules Boilerplate Template,1
AKSW/SPARQL2NL,https://github.com/otto-de/jsonhome,converts SPARQL queries to natural language expressions,otto-de/jsonhome,https://github.com/AKSW/SPARQL2NL,Libraries to publish and consume json-home documents for RESTful web applications.,1
AKSW/SPARQL2NL,https://github.com/AskNowQA/AutoSPARQL,converts SPARQL queries to natural language expressions,AskNowQA/AutoSPARQL,https://github.com/AKSW/SPARQL2NL,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,4

AKSW/Sparqlify,https://github.com/AKSW/jena-sparql-api,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,AKSW/jena-sparql-api,https://github.com/AKSW/Sparqlify,A collection of Jena-extensions for hiding SPARQL-complexity from the application layer,3
AKSW/Sparqlify,https://github.com/AKSW/RDFUnit,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,AKSW/RDFUnit,https://github.com/AKSW/Sparqlify,An RDF Unit Testing Suite,3
AKSW/Sparqlify,https://github.com/pyvandenbussche/sparqles,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,pyvandenbussche/sparqles,https://github.com/AKSW/Sparqlify,SPARQL Endpoint Status,4
AKSW/Sparqlify,https://github.com/rdfhdt/hdt-java,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,rdfhdt/hdt-java,https://github.com/AKSW/Sparqlify,HDT Java library and tools.,3
AKSW/Sparqlify,https://github.com/nkons/r2rml-parser,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,nkons/r2rml-parser,https://github.com/AKSW/Sparqlify,R2RML Parser is an award-winning tool that can export relational database contents as RDF graphs; based on an R2RML mapping document.,3

asakusafw/asakusafw,https://github.com/sriksun/Ivory,Asakusa Framework,sriksun/Ivory,https://github.com/asakusafw/asakusafw,Data Management + Feed Processing Platform over Hadoop,2
asakusafw/asakusafw,https://github.com/mozilla-metrics/akela,Asakusa Framework,mozilla-metrics/akela,https://github.com/asakusafw/asakusafw,A bunch of utility classes for Java; Hadoop; HBase; Pig; etc.,3
asakusafw/asakusafw,https://github.com/lintool/clueweb,Asakusa Framework,lintool/clueweb,https://github.com/asakusafw/asakusafw,Hadoop tools for manipulating ClueWeb collections,2
asakusafw/asakusafw,https://github.com/yc-huang/Hive-mongo,Asakusa Framework,yc-huang/Hive-mongo,https://github.com/asakusafw/asakusafw,hive storage handler for connecting with MongoDB,2
asakusafw/asakusafw,https://github.com/msgpack/msgpack-hadoop,Asakusa Framework,msgpack/msgpack-hadoop,https://github.com/asakusafw/asakusafw,MessagePack-Hadoop integration provides an efficient schema-free data representation for Hadoop and Hive.,2

AskNowQA/AutoSPARQL,https://github.com/rdfhdt/hdt-java,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,rdfhdt/hdt-java,https://github.com/AskNowQA/AutoSPARQL,HDT Java library and tools.,3
AskNowQA/AutoSPARQL,https://github.com/yhegde/facebook-page-scraper,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,yhegde/facebook-page-scraper,https://github.com/AskNowQA/AutoSPARQL,Facebook Page Scraper is a suite of tools for collecting data from public Facebook Pages using Facebook's Graph API,2
AskNowQA/AutoSPARQL,https://github.com/pyvandenbussche/sparqles,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,pyvandenbussche/sparqles,https://github.com/AskNowQA/AutoSPARQL,SPARQL Endpoint Status,3
AskNowQA/AutoSPARQL,https://github.com/socialsignin/spring-social-security-demo,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,socialsignin/spring-social-security-demo,https://github.com/AskNowQA/AutoSPARQL,Spring Social Security Demo - using the default user local account persistence of Spring-Social-Security,2
AskNowQA/AutoSPARQL,https://github.com/AKSW/SPARQL2NL,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,AKSW/SPARQL2NL,https://github.com/AskNowQA/AutoSPARQL,converts SPARQL queries to natural language expressions,4

blackberry/KaBoom,https://github.com/lintool/bespin,A High Performance Cluster Consumer for Kafka that creates Avro (boom) files in Hadoop in time based directory paths,lintool/bespin,https://github.com/blackberry/KaBoom,Reference implementations of 'big data' algorithms in MapReduce and Spark,2
blackberry/KaBoom,https://github.com/Conductor/kangaroo,A High Performance Cluster Consumer for Kafka that creates Avro (boom) files in Hadoop in time based directory paths,Conductor/kangaroo,https://github.com/blackberry/KaBoom,Hadoop utilities for Kafka; S3; and more,3
blackberry/KaBoom,https://github.com/qubole/quark,A High Performance Cluster Consumer for Kafka that creates Avro (boom) files in Hadoop in time based directory paths,qubole/quark,https://github.com/blackberry/KaBoom,Quark is a data virtualization engine over analytic databases.,2
blackberry/KaBoom,https://github.com/Knewton/KassandraMRHelper,A High Performance Cluster Consumer for Kafka that creates Avro (boom) files in Hadoop in time based directory paths,Knewton/KassandraMRHelper,https://github.com/blackberry/KaBoom,Library for processing Cassandra SSTables with Hadoop MapReduce.,1
blackberry/KaBoom,https://github.com/amient/kafka-hadoop-loader,A High Performance Cluster Consumer for Kafka that creates Avro (boom) files in Hadoop in time based directory paths,amient/kafka-hadoop-loader,https://github.com/blackberry/KaBoom,Hadoop Job for schemaless incremental loading of messages from Kafka topics onto hdfs with configurable output partitioning.,3

bonigarcia/webdrivermanager,https://github.com/classtag/learn_crawler,Automatic Selenium WebDriver binaries management in runtime for Java,classtag/learn_crawler,https://github.com/bonigarcia/webdrivermanager,读书笔记《自己动手写网络爬虫》，自己敲的代码。主要记录了网络爬虫的基本实现，网页去重的算法，网页指纹算法，文本信息挖掘,2
bonigarcia/webdrivermanager,https://github.com/Ardesco/selenium-standalone-server-plugin,Automatic Selenium WebDriver binaries management in runtime for Java,Ardesco/selenium-standalone-server-plugin,https://github.com/bonigarcia/webdrivermanager,A Maven plugin that will download the WebDriver stand alone server executables for use in your mavenised Selenium project.,4
bonigarcia/webdrivermanager,https://github.com/seleniumkit/selenograph,Automatic Selenium WebDriver binaries management in runtime for Java,seleniumkit/selenograph,https://github.com/bonigarcia/webdrivermanager,Powered version of Selenium Grid Router,3
bonigarcia/webdrivermanager,https://github.com/selenium-cucumber/selenium-cucumber-java,Automatic Selenium WebDriver binaries management in runtime for Java,selenium-cucumber/selenium-cucumber-java,https://github.com/bonigarcia/webdrivermanager,Behavior driven development (BDD) approach to write automation test scripts to test web applications.,3
bonigarcia/webdrivermanager,https://github.com/webdriverextensions/webdriverextensions,Automatic Selenium WebDriver binaries management in runtime for Java,webdriverextensions/webdriverextensions,https://github.com/bonigarcia/webdrivermanager,Make your WebDriver based Selenium tests more readable; reusability and maintainable by using WebDriver Extensions!,3

caelum/vraptor,https://github.com/ExampleDriven/cxf-example,Simple Java Web MVC Framework,ExampleDriven/cxf-example,https://github.com/caelum/vraptor,This project demonstrates how to build a simple CXF webservice using SOAP (JAX-WS) or REST (JAX-RS),3
caelum/vraptor,https://github.com/brucezee/jspider,Simple Java Web MVC Framework,brucezee/jspider,https://github.com/caelum/vraptor,A simple; scalable; and highly efficient web crawler framework for Java.,3
caelum/vraptor,https://github.com/skprasadu/spring-security-examples,Simple Java Web MVC Framework,skprasadu/spring-security-examples,https://github.com/caelum/vraptor,spring-security-examples,3
caelum/vraptor,https://github.com/caelum/vraptor4,Simple Java Web MVC Framework,caelum/vraptor4,https://github.com/caelum/vraptor,A Java web MVC action-based framework,4
caelum/vraptor,https://github.com/caelum/restfulie-java,Simple Java Web MVC Framework,caelum/restfulie-java,https://github.com/caelum/vraptor,restfulie implementation in java; with support to vraptor,4

caelum/vraptor4,https://github.com/hubrick/vertx-rest-client,A Java web MVC action-based framework,hubrick/vertx-rest-client,https://github.com/caelum/vraptor4,Vert.x REST client,2
caelum/vraptor4,https://github.com/stephenh/joist,A Java web MVC action-based framework,stephenh/joist,https://github.com/caelum/vraptor4,a orm based on code generation,2
caelum/vraptor4,https://github.com/noveogroup-amorgunov/spring-mvc-react,A Java web MVC action-based framework,noveogroup-amorgunov/spring-mvc-react,https://github.com/caelum/vraptor4,Example of using spring 4 (rest full api with hibernate) + react.js (client),3
caelum/vraptor4,https://github.com/livrospringmvc/lojacasadocodigo,A Java web MVC action-based framework,livrospringmvc/lojacasadocodigo,https://github.com/caelum/vraptor4,versão da loja da casa do código usando o Spring MVC como framework,3
caelum/vraptor4,https://github.com/caelum/vraptor,A Java web MVC action-based framework,caelum/vraptor,https://github.com/caelum/vraptor4,Simple Java Web MVC Framework,4

codelibs/elasticsearch-cluster-runner,https://github.com/vhyza/elasticsearch-analysis-lemmagen,Elasticsearch Cluster Launcher on One JVM Instance,vhyza/elasticsearch-analysis-lemmagen,https://github.com/codelibs/elasticsearch-cluster-runner,Elasticsearch lemmatizer for 15 languages,2
codelibs/elasticsearch-cluster-runner,https://github.com/jloisel/elastic-crud,Elasticsearch Cluster Launcher on One JVM Instance,jloisel/elastic-crud,https://github.com/codelibs/elasticsearch-cluster-runner,Simple yet elegant ElasticSearch Crud Repository.,2
codelibs/elasticsearch-cluster-runner,https://github.com/opendatasoft/elasticsearch-plugin-geoshape,Elasticsearch Cluster Launcher on One JVM Instance,opendatasoft/elasticsearch-plugin-geoshape,https://github.com/codelibs/elasticsearch-cluster-runner, ,1
codelibs/elasticsearch-cluster-runner,https://github.com/visallo/vertexium,Elasticsearch Cluster Launcher on One JVM Instance,visallo/vertexium,https://github.com/codelibs/elasticsearch-cluster-runner,Vertexium; similar to Blueprints but secure.,3
codelibs/elasticsearch-cluster-runner,https://github.com/jprante/elasticsearch-plugin-rdf-jena,Elasticsearch Cluster Launcher on One JVM Instance,jprante/elasticsearch-plugin-rdf-jena,https://github.com/codelibs/elasticsearch-cluster-runner,Using Apache Jena API to store and retrieve RDF triples in Elasticsearch,3

conductor-framework/conductor,https://github.com/Cognifide/bobcat,The Selenium framework that takes you where you want to go,Cognifide/bobcat,https://github.com/conductor-framework/conductor,Bobcat is an automated testing framework for functional testing of web applications.,4
conductor-framework/conductor,https://github.com/webdriverextensions/webdriverextensions,The Selenium framework that takes you where you want to go,webdriverextensions/webdriverextensions,https://github.com/conductor-framework/conductor,Make your WebDriver based Selenium tests more readable; reusability and maintainable by using WebDriver Extensions!,4
conductor-framework/conductor,https://github.com/testIT-WebTester/webtester-core,The Selenium framework that takes you where you want to go,testIT-WebTester/webtester-core,https://github.com/conductor-framework/conductor,Java 6/7 version of WebTester,4
conductor-framework/conductor,https://github.com/seleniumQuery/seleniumQuery,The Selenium framework that takes you where you want to go,seleniumQuery/seleniumQuery,https://github.com/conductor-framework/conductor,jQuery-like cross-driver interface in Java for Selenium WebDriver,3
conductor-framework/conductor,https://github.com/selenium-cucumber/selenium-cucumber-java,The Selenium framework that takes you where you want to go,selenium-cucumber/selenium-cucumber-java,https://github.com/conductor-framework/conductor,Behavior driven development (BDD) approach to write automation test scripts to test web applications.,4

Conductor/kangaroo,https://github.com/pranab/visitante,Hadoop utilities for Kafka; S3; and more,pranab/visitante,https://github.com/Conductor/kangaroo,Set of Hadoop and Storm based tools for web analytic,2
Conductor/kangaroo,https://github.com/amient/kafka-hadoop-loader,Hadoop utilities for Kafka; S3; and more,amient/kafka-hadoop-loader,https://github.com/Conductor/kangaroo,Hadoop Job for schemaless incremental loading of messages from Kafka topics onto hdfs with configurable output partitioning.,3
Conductor/kangaroo,https://github.com/blackberry/KaBoom,Hadoop utilities for Kafka; S3; and more,blackberry/KaBoom,https://github.com/Conductor/kangaroo,A High Performance Cluster Consumer for Kafka that creates Avro (boom) files in Hadoop in time based directory paths,3
Conductor/kangaroo,https://github.com/Knewton/KassandraMRHelper,Hadoop utilities for Kafka; S3; and more,Knewton/KassandraMRHelper,https://github.com/Conductor/kangaroo,Library for processing Cassandra SSTables with Hadoop MapReduce.,2
Conductor/kangaroo,https://github.com/miniway/kafka-hadoop-consumer,Hadoop utilities for Kafka; S3; and more,miniway/kafka-hadoop-consumer,https://github.com/Conductor/kangaroo,Another kafka-hadoop-consumer,2

dadoonet/spring-elasticsearch,https://github.com/jprante/elasticsearch-client,Spring factories for elasticsearch,jprante/elasticsearch-client,https://github.com/dadoonet/spring-elasticsearch,ElasticSearch Client Project,3
dadoonet/spring-elasticsearch,https://github.com/hubrick/vertx-rest-client,Spring factories for elasticsearch,hubrick/vertx-rest-client,https://github.com/dadoonet/spring-elasticsearch,Vert.x REST client,2
dadoonet/spring-elasticsearch,https://github.com/ameizi/elasticsearch-jest-example,Spring factories for elasticsearch,ameizi/elasticsearch-jest-example,https://github.com/dadoonet/spring-elasticsearch,ElasticSearch Java Rest Client Examples,3
dadoonet/spring-elasticsearch,https://github.com/SpringDataElasticsearchDevs/spring-data-elasticsearch,Spring factories for elasticsearch,SpringDataElasticsearchDevs/spring-data-elasticsearch,https://github.com/dadoonet/spring-elasticsearch,Spring Data implementation for ElasticSearch,4
dadoonet/spring-elasticsearch,https://github.com/jprante/elasticsearch-plugin-rdf-jena,Spring factories for elasticsearch,jprante/elasticsearch-plugin-rdf-jena,https://github.com/dadoonet/spring-elasticsearch,Using Apache Jena API to store and retrieve RDF triples in Elasticsearch,4

datasalt/pangool,https://github.com/alexholmes/hadoop-utils,Tuple MapReduce for Hadoop: Hadoop API made easy,alexholmes/hadoop-utils,https://github.com/datasalt/pangool,A set of Hadoop utilities to make working with Hadoop a little easier.,3
