Query,Query url,Query description,Result,Result url,Result description,User evaluation

AKSW/SPARQL2NL,https://github.com/shane-k-j/jboss-trading,converts SPARQL queries to natural language expressions,shane-k-j/jboss-trading,https://github.com/AKSW/SPARQL2NL, ,1
AKSW/SPARQL2NL,https://github.com/AKSW/Sparqlify,converts SPARQL queries to natural language expressions,AKSW/Sparqlify,https://github.com/AKSW/SPARQL2NL,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,4
AKSW/SPARQL2NL,https://github.com/AskNowQA/AutoSPARQL,converts SPARQL queries to natural language expressions,AskNowQA/AutoSPARQL,https://github.com/AKSW/SPARQL2NL,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,4
AKSW/SPARQL2NL,https://github.com/teiid/teiid,converts SPARQL queries to natural language expressions,teiid/teiid,https://github.com/AKSW/SPARQL2NL,Teiid is a data virtualization system that allows applications to use data from multiple; heterogenous data stores.,1
AKSW/SPARQL2NL,https://github.com/mozilla-metrics/akela,converts SPARQL queries to natural language expressions,mozilla-metrics/akela,https://github.com/AKSW/SPARQL2NL,A bunch of utility classes for Java; Hadoop; HBase; Pig; etc.,2

AKSW/Sparqlify,https://github.com/teiid/teiid,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,teiid/teiid,https://github.com/AKSW/Sparqlify,Teiid is a data virtualization system that allows applications to use data from multiple; heterogenous data stores.,1
AKSW/Sparqlify,https://github.com/AKSW/jena-sparql-api,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,AKSW/jena-sparql-api,https://github.com/AKSW/Sparqlify,A collection of Jena-extensions for hiding SPARQL-complexity from the application layer,4
AKSW/Sparqlify,https://github.com/h819/spring-boot,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,h819/spring-boot,https://github.com/AKSW/Sparqlify,A Spring Boot Framework based JavaEE application; a Java Commons Utils; and more java practice. </br> Spring Boot;Spring MVC;Spring JPA;Spring Security;Spring Oauth;Hibernate;QueryDSL;PO to DTO </br> ZTree;Fuelux Tree;jqgird;flexpaper,1
AKSW/Sparqlify,https://github.com/AKSW/SPARQL2NL,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,AKSW/SPARQL2NL,https://github.com/AKSW/Sparqlify,converts SPARQL queries to natural language expressions,4
AKSW/Sparqlify,https://github.com/AskNowQA/AutoSPARQL,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,AskNowQA/AutoSPARQL,https://github.com/AKSW/Sparqlify,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,4

asakusafw/asakusafw,https://github.com/marklogic/java-client-api,Asakusa Framework,marklogic/java-client-api,https://github.com/asakusafw/asakusafw,Java client for the MarkLogic enterprise NoSQL database,1
asakusafw/asakusafw,https://github.com/Azure/azure-documentdb-hadoop,Asakusa Framework,Azure/azure-documentdb-hadoop,https://github.com/asakusafw/asakusafw, ,2
asakusafw/asakusafw,https://github.com/Cognifide/bobcat,Asakusa Framework,Cognifide/bobcat,https://github.com/asakusafw/asakusafw,Bobcat is an automated testing framework for functional testing of web applications.,2
asakusafw/asakusafw,https://github.com/neuroph/neuroph,Asakusa Framework,neuroph/neuroph,https://github.com/asakusafw/asakusafw,Java Neural Network Framework Neuroph,1
asakusafw/asakusafw,https://github.com/mozilla-metrics/akela,Asakusa Framework,mozilla-metrics/akela,https://github.com/asakusafw/asakusafw,A bunch of utility classes for Java; Hadoop; HBase; Pig; etc.,2

AskNowQA/AutoSPARQL,https://github.com/teiid/teiid,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,teiid/teiid,https://github.com/AskNowQA/AutoSPARQL,Teiid is a data virtualization system that allows applications to use data from multiple; heterogenous data stores.,1
AskNowQA/AutoSPARQL,https://github.com/h819/spring-boot,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,h819/spring-boot,https://github.com/AskNowQA/AutoSPARQL,A Spring Boot Framework based JavaEE application; a Java Commons Utils; and more java practice. </br> Spring Boot;Spring MVC;Spring JPA;Spring Security;Spring Oauth;Hibernate;QueryDSL;PO to DTO </br> ZTree;Fuelux Tree;jqgird;flexpaper,1
AskNowQA/AutoSPARQL,https://github.com/AKSW/Sparqlify,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,AKSW/Sparqlify,https://github.com/AskNowQA/AutoSPARQL,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,3
AskNowQA/AutoSPARQL,https://github.com/AKSW/SPARQL2NL,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,AKSW/SPARQL2NL,https://github.com/AskNowQA/AutoSPARQL,converts SPARQL queries to natural language expressions,4
AskNowQA/AutoSPARQL,https://github.com/mozilla-metrics/akela,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,mozilla-metrics/akela,https://github.com/AskNowQA/AutoSPARQL,A bunch of utility classes for Java; Hadoop; HBase; Pig; etc.,1

blackberry/KaBoom,https://github.com/jbrisbin/vcloud,A High Performance Cluster Consumer for Kafka that creates Avro (boom) files in Hadoop in time based directory paths,jbrisbin/vcloud,https://github.com/blackberry/KaBoom,Utilities for working in virtual cloud environments.,1
blackberry/KaBoom,https://github.com/hopshadoop/hops,A High Performance Cluster Consumer for Kafka that creates Avro (boom) files in Hadoop in time based directory paths,hopshadoop/hops,https://github.com/blackberry/KaBoom,Hops Hadoop is a distribution of Apache Hadoop with distributed metadata.,1
blackberry/KaBoom,https://github.com/searchbox-io/Jest,A High Performance Cluster Consumer for Kafka that creates Avro (boom) files in Hadoop in time based directory paths,searchbox-io/Jest,https://github.com/blackberry/KaBoom,Elasticsearch Java Rest Client.,1
blackberry/KaBoom,https://github.com/confluentinc/camus,A High Performance Cluster Consumer for Kafka that creates Avro (boom) files in Hadoop in time based directory paths,confluentinc/camus,https://github.com/blackberry/KaBoom,Mirror of Linkedin's Camus,3
blackberry/KaBoom,https://github.com/AxonFramework/AxonBank,A High Performance Cluster Consumer for Kafka that creates Avro (boom) files in Hadoop in time based directory paths,AxonFramework/AxonBank,https://github.com/blackberry/KaBoom,Simple virtual bank application to showcase features of Axon Framework,1

bonigarcia/webdrivermanager,https://github.com/franzinc/agraph-java-client,Automatic Selenium WebDriver binaries management in runtime for Java,franzinc/agraph-java-client,https://github.com/bonigarcia/webdrivermanager,The AllegroGraph client interface,1
bonigarcia/webdrivermanager,https://github.com/bazaarvoice/jolt,Automatic Selenium WebDriver binaries management in runtime for Java,bazaarvoice/jolt,https://github.com/bonigarcia/webdrivermanager,JSON to JSON transformation library written in Java.,1
bonigarcia/webdrivermanager,https://github.com/Ardesco/selenium-standalone-server-plugin,Automatic Selenium WebDriver binaries management in runtime for Java,Ardesco/selenium-standalone-server-plugin,https://github.com/bonigarcia/webdrivermanager,A Maven plugin that will download the WebDriver stand alone server executables for use in your mavenised Selenium project.,4
bonigarcia/webdrivermanager,https://github.com/jaeksoft/opensearchserver,Automatic Selenium WebDriver binaries management in runtime for Java,jaeksoft/opensearchserver,https://github.com/bonigarcia/webdrivermanager,Open-source Enterprise Grade Search Engine Software,3
bonigarcia/webdrivermanager,https://github.com/jirutka/validator-collection,Automatic Selenium WebDriver binaries management in runtime for Java,jirutka/validator-collection,https://github.com/bonigarcia/webdrivermanager,The easiest way to validate collections of basic types using Bean Validation.,2

caelum/vraptor,https://github.com/fhoeben/hsac-fitnesse-fixtures,Simple Java Web MVC Framework,fhoeben/hsac-fitnesse-fixtures,https://github.com/caelum/vraptor,An environment to define and run integration tests. It contains Fitnesse fixture (base) classes and a baseline Fitnesse installation.,3
caelum/vraptor,https://github.com/AndroidBootstrap/android-bootstrap,Simple Java Web MVC Framework,AndroidBootstrap/android-bootstrap,https://github.com/caelum/vraptor,A template/bootstrap/boilerplate application that includes tons of great open source tools and frameworks.,2
caelum/vraptor,https://github.com/asakusafw/asakusafw,Simple Java Web MVC Framework,asakusafw/asakusafw,https://github.com/caelum/vraptor,Asakusa Framework,3
caelum/vraptor,https://github.com/caelum/vraptor4,Simple Java Web MVC Framework,caelum/vraptor4,https://github.com/caelum/vraptor,A Java web MVC action-based framework,4
caelum/vraptor,https://github.com/mozilla-metrics/akela,Simple Java Web MVC Framework,mozilla-metrics/akela,https://github.com/caelum/vraptor,A bunch of utility classes for Java; Hadoop; HBase; Pig; etc.,2

caelum/vraptor4,https://github.com/paymill/paymill-java,A Java web MVC action-based framework,paymill/paymill-java,https://github.com/caelum/vraptor4,Java wrapper for Paymill API,2
caelum/vraptor4,https://github.com/biezhi/blade,A Java web MVC action-based framework,biezhi/blade,https://github.com/caelum/vraptor4,:rocket: Lightning Fast and Elegant Mvc Framework for Java8,3
caelum/vraptor4,https://github.com/OWASP/java-html-sanitizer,A Java web MVC action-based framework,OWASP/java-html-sanitizer,https://github.com/caelum/vraptor4,Takes third-party HTML and produces HTML that is safe to embed in your web application.  Fast and easy to configure.,2
caelum/vraptor4,https://github.com/hibernate/hibernate-orm,A Java web MVC action-based framework,hibernate/hibernate-orm,https://github.com/caelum/vraptor4,Hibernate's core Object/Relational Mapping functionality,2
caelum/vraptor4,https://github.com/caelum/vraptor,A Java web MVC action-based framework,caelum/vraptor,https://github.com/caelum/vraptor4,Simple Java Web MVC Framework,4

codelibs/elasticsearch-cluster-runner,https://github.com/mhidaka/EventApp,Elasticsearch Cluster Launcher on One JVM Instance,mhidaka/EventApp,https://github.com/codelibs/elasticsearch-cluster-runner,ABC2013a用に作ったカンファレンス一覧アプリです。じんわりメンテしていく予定だよ,1
codelibs/elasticsearch-cluster-runner,https://github.com/KEN-LJQ/WMS,Elasticsearch Cluster Launcher on One JVM Instance,KEN-LJQ/WMS,https://github.com/codelibs/elasticsearch-cluster-runner,一个基于Spring MVC、Spring、MyBatis、Shiro框架的仓库管理系统Demo。A warehouse management system implement with Spring MVC; Spring Framework;MyBstis;Shiro and MySQL   http://139.199.179.164:8080/WMS,2
codelibs/elasticsearch-cluster-runner,https://github.com/uwolfer/gerrit-rest-java-client,Elasticsearch Cluster Launcher on One JVM Instance,uwolfer/gerrit-rest-java-client,https://github.com/codelibs/elasticsearch-cluster-runner,Java REST client for Gerrit Code Review,1
codelibs/elasticsearch-cluster-runner,https://github.com/pentaho/big-data-plugin,Elasticsearch Cluster Launcher on One JVM Instance,pentaho/big-data-plugin,https://github.com/codelibs/elasticsearch-cluster-runner,Kettle plugin that provides support for interacting within many 'big data' projects including Hadoop; Hive; HBase; Cassandra; MongoDB; and others.,2
codelibs/elasticsearch-cluster-runner,https://github.com/apache/tomcat80,Elasticsearch Cluster Launcher on One JVM Instance,apache/tomcat80,https://github.com/codelibs/elasticsearch-cluster-runner,Mirror of Apache Tomcat 8.0.x,2

conductor-framework/conductor,https://github.com/pranab/visitante,The Selenium framework that takes you where you want to go,pranab/visitante,https://github.com/conductor-framework/conductor,Set of Hadoop and Storm based tools for web analytic,2
conductor-framework/conductor,https://github.com/rolandkrueger/vaadin-by-example,The Selenium framework that takes you where you want to go,rolandkrueger/vaadin-by-example,https://github.com/conductor-framework/conductor,Learn Vaadin by working example projects.,2
conductor-framework/conductor,https://github.com/hannesstockner/kafka-connect-elasticsearch,The Selenium framework that takes you where you want to go,hannesstockner/kafka-connect-elasticsearch,https://github.com/conductor-framework/conductor, ,2
conductor-framework/conductor,https://github.com/bowyer-app/ParseSendClient,The Selenium framework that takes you where you want to go,bowyer-app/ParseSendClient,https://github.com/conductor-framework/conductor,Parse push send client.  Use Parse REST API Push Notifications,1
conductor-framework/conductor,https://github.com/skate056/spring-security-oauth2-google,The Selenium framework that takes you where you want to go,skate056/spring-security-oauth2-google,https://github.com/conductor-framework/conductor,Sample Spring MVC web application which is secured by Spring Security OAuth2 + Google,2

Conductor/kangaroo,https://github.com/Esri/spatial-framework-for-hadoop,Hadoop utilities for Kafka; S3; and more,Esri/spatial-framework-for-hadoop,https://github.com/Conductor/kangaroo,The Spatial Framework for Hadoop allows developers and data scientists to use the Hadoop data processing system for spatial data analysis.,1
Conductor/kangaroo,https://github.com/GoogleCloudPlatform/bigdata-interop,Hadoop utilities for Kafka; S3; and more,GoogleCloudPlatform/bigdata-interop,https://github.com/Conductor/kangaroo,Libraries and tools for interoperability between Hadoop-related open-source software and Google Cloud Platform.,3
Conductor/kangaroo,https://github.com/Azure/azure-documentdb-hadoop,Hadoop utilities for Kafka; S3; and more,Azure/azure-documentdb-hadoop,https://github.com/Conductor/kangaroo, ,3
Conductor/kangaroo,https://github.com/rolandkrueger/vaadin-by-example,Hadoop utilities for Kafka; S3; and more,rolandkrueger/vaadin-by-example,https://github.com/Conductor/kangaroo,Learn Vaadin by working example projects.,1
Conductor/kangaroo,https://github.com/neo4j-contrib/cypher-dsl,Hadoop utilities for Kafka; S3; and more,neo4j-contrib/cypher-dsl,https://github.com/Conductor/kangaroo,A Java DSL for the Cypher Query Language and an optional Query DSL mode,1

dadoonet/spring-elasticsearch,https://github.com/epam/Wilma,Spring factories for elasticsearch,epam/Wilma,https://github.com/dadoonet/spring-elasticsearch,Service Virtualization Solution – a combined Service Stub and Transparent Proxy,1
