Query,Query url,Query description,Result,Result url,Result description,User evaluation

AKSW/SPARQL2NL,https://github.com/jsonld-java/jsonld-java,converts SPARQL queries to natural language expressions,jsonld-java/jsonld-java,https://github.com/AKSW/SPARQL2NL,JSON-LD implementation for Java,2
AKSW/SPARQL2NL,https://github.com/AskNowQA/AutoSPARQL,converts SPARQL queries to natural language expressions,AskNowQA/AutoSPARQL,https://github.com/AKSW/SPARQL2NL,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,4
AKSW/SPARQL2NL,https://github.com/claudiomartella/dbpedia4neo,converts SPARQL queries to natural language expressions,claudiomartella/dbpedia4neo,https://github.com/AKSW/SPARQL2NL,A set of hacks to setup a dbpedia endpoint through neo4j,1
AKSW/SPARQL2NL,https://github.com/galan/packtag,converts SPARQL queries to natural language expressions,galan/packtag,https://github.com/AKSW/SPARQL2NL,A JSP Taglib for delivering minified; combined and gzip-compressed resources (JavaScript and CSS).,1
AKSW/SPARQL2NL,https://github.com/AKSW/jena-sparql-api,converts SPARQL queries to natural language expressions,AKSW/jena-sparql-api,https://github.com/AKSW/SPARQL2NL,A collection of Jena-extensions for hiding SPARQL-complexity from the application layer,4

AKSW/Sparqlify,https://github.com/11039850/monalisa-orm,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,11039850/monalisa-orm,https://github.com/AKSW/Sparqlify,Very Simple ORM,1
AKSW/Sparqlify,https://github.com/crazyacking/zeekEye,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,crazyacking/zeekEye,https://github.com/AKSW/Sparqlify,:octocat:A Fast and Powerful Scraping and Web Crawling Framework.,2
AKSW/Sparqlify,https://github.com/rdfhdt/hdt-java,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,rdfhdt/hdt-java,https://github.com/AKSW/Sparqlify,HDT Java library and tools.,3
AKSW/Sparqlify,https://github.com/castagna/jena-examples,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,castagna/jena-examples,https://github.com/AKSW/Sparqlify,A collection of ready to use; small and self contained examples on how to use Apache Jena,3
AKSW/Sparqlify,https://github.com/AKSW/jena-sparql-api,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,AKSW/jena-sparql-api,https://github.com/AKSW/Sparqlify,A collection of Jena-extensions for hiding SPARQL-complexity from the application layer,4

