Query,Query url,Query description,Result,Result url,Result description,User evaluation

AKSW/SPARQL2NL,https://github.com/eclipse/rdf4j,converts SPARQL queries to natural language expressions,eclipse/rdf4j,https://github.com/AKSW/SPARQL2NL,RDF4J Project,3
AKSW/SPARQL2NL,https://github.com/AKSW/RDFUnit,converts SPARQL queries to natural language expressions,AKSW/RDFUnit,https://github.com/AKSW/SPARQL2NL,An RDF Unit Testing Suite,3
AKSW/SPARQL2NL,https://github.com/stardog-union/pellet,converts SPARQL queries to natural language expressions,stardog-union/pellet,https://github.com/AKSW/SPARQL2NL,Pellet is an OWL 2 reasoner in Java; open source (AGPL) and commercially licensed; commercial support available.,2
AKSW/SPARQL2NL,https://github.com/AKSW/Sparqlify,converts SPARQL queries to natural language expressions,AKSW/Sparqlify,https://github.com/AKSW/SPARQL2NL,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,3
AKSW/SPARQL2NL,https://github.com/AskNowQA/AutoSPARQL,converts SPARQL queries to natural language expressions,AskNowQA/AutoSPARQL,https://github.com/AKSW/SPARQL2NL,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,4

AKSW/Sparqlify,https://github.com/nkons/r2rml-parser,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,nkons/r2rml-parser,https://github.com/AKSW/Sparqlify,R2RML Parser is an award-winning tool that can export relational database contents as RDF graphs; based on an R2RML mapping document.,3
AKSW/Sparqlify,https://github.com/castagna/jena-examples,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,castagna/jena-examples,https://github.com/AKSW/Sparqlify,A collection of ready to use; small and self contained examples on how to use Apache Jena,3
AKSW/Sparqlify,https://github.com/caskdata/cdap,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,caskdata/cdap,https://github.com/AKSW/Sparqlify,Cask Data Application Platform (CDAP),2
AKSW/Sparqlify,https://github.com/AKSW/SPARQL2NL,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,AKSW/SPARQL2NL,https://github.com/AKSW/Sparqlify,converts SPARQL queries to natural language expressions,3
AKSW/Sparqlify,https://github.com/AskNowQA/AutoSPARQL,Sparql -> SQL Rewriter enabling virtual RDB -> RDF mappings,AskNowQA/AutoSPARQL,https://github.com/AKSW/Sparqlify,Warning: Not working at the moment. Maintainer on parental leave. AutoSPARQL allows to create SPARQL queries over RDF knowledge bases from natural language with low effort.,4

